Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Q1_Stepsize       Critic_Q2_Stepsize       Actor_Loss               Actor_Stepsize           Disc_Loss                Disc_Acc_Expert          Disc_Acc_Agent           Disc_Stepsize            Disc_Steps               Disc_Prob                Disc_Abs_Logit           Disc_Reward_Mean         Disc_Reward_Std          Grad_Penalty             
0                        0.0035283383395936754    8305                     0.0                      588.7466537225852        0.06654455381028458      1.9240528437474358       0                        0                        0.999983312              0.05                     4.033432946850856        0.0005                   0.0005                   0.0                      2e-06                    71.21799908262311        0.5694150828351878       0.5480385308313851       1e-05                    33                       0.46015099804810805      3.2033331129286022       0.0                      0.0                      6.143328271730982        
200                      0.43078637301921846      836984                   0.0                      590.1966827837801        0.10664926338147654      2.2024527614857083       0                        0                        0.99666866               0.05                     0.6514628420894345       0.0005                   0.0005                   0.07286604051114409      2e-06                    6.542291968759865        1.0                      0.8764388826158312       1e-05                    6610                     0.301214160341205        1.102645218974412        0.6066487530867258       0.674140195051829        0.2433463202582465       
400                      0.8336269785960515       1665404                  0.0                      591.1750073450225        0.10526086365134182      2.137855238333192        0                        0                        0.9933549079999999       0.049999999999999996     0.3271028393672572       0.0005                   0.0005                   0.0                      2e-06                    4.849842264194681        1.0                      0.9895465542571712       1e-05                    13191                    0.27524141350177805      1.0029258728027344       0.2688867698113124       0.42234914004802704      0.12626033840757428      
600                      1.2534560730722215       2494077                  0.0                      589.7953137143305        0.10526086365134182      2.137855238333192        0                        0                        0.99004026               0.05                     0.4923889441622628       0.0005                   0.0005                   0.0                      2e-06                    4.613631585631707        1.0                      0.9563072281654436       1e-05                    19777                    0.28935771036629726      0.9862699219674775       0.4867260704437892       0.5647793511549631       0.12734090920650598      
800                      1.6582242861058978       3324359                  0.0                      581.0078929861952        0.10526086365134182      2.137855238333192        0                        0                        0.986719188              0.05                     0.20110984713149568      0.0005                   0.0005                   0.09014641463727457      2e-06                    4.401564164595171        1.0                      0.9714586373531459       1e-05                    26363                    0.2972821274189034       0.9208089751426619       0.4656188239653905       0.4939277668793996       0.13602832832721748      
1000                     2.0545223440064326       4157020                  0.0                      585.54914975374          0.10526086365134182      2.137855238333192        0                        0                        0.983388648              0.05                     0.3592656522523612       0.0005                   0.0005                   0.0                      2e-06                    3.7665283896706323       1.0                      0.9888417985704211       1e-05                    32953                    0.2842649113048206       0.9607760304152363       0.34966350595156354      0.43464354674021405      0.10048565599653457      
1200                     2.453817485305998        4987872                  0.0                      584.3964238827479        0.10526086365134182      2.137855238333192        0                        0                        0.980065144              0.05                     0.48225322443371016      0.0005                   0.0005                   0.0                      2e-06                    3.5813082300051295       1.0                      0.975099756260111        1e-05                    39529                    0.29496739609072903      0.9256800449255741       0.35415931046009064      0.4546026686827342       0.10291755199432373      
1400                     2.8425406997733647       5818149                  0.0                      583.3160633014547        0.10526086365134182      2.137855238333192        0                        0                        0.9767439440000001       0.05000000000000001      0.2901205448433757       0.0005                   0.0005                   0.1182343822341257       2e-06                    2.9274194890802554       1.0                      0.9881371199482619       1e-05                    46113                    0.2776550138839567       0.9900440061935271       0.22692067176103592      0.36852215230464935      0.05984206332100762      
1600                     3.234459950592783        6647799                  0.0                      584.6308091448814        0.10526086365134182      2.137855238333192        0                        0                        0.973425408              0.05                     0.22945511667057872      0.0005                   0.0005                   0.0                      2e-06                    2.6500934639362375       1.0                      0.9978857907381924       1e-05                    52696                    0.27524125455605863      0.9894807988947086       0.25061577061812085      0.334119309981664        0.05019230794424962      
1800                     3.633606283598476        7478089                  0.0                      583.9424126581085        0.10526086365134182      2.137855238333192        0                        0                        0.9701042679999999       0.049999999999999996     0.23327343802278241      0.0005                   0.0005                   0.0                      2e-06                    2.4643165511314318       1.0                      0.9990603514391966       1e-05                    59274                    0.2864160296892879       0.9345944915154968       0.40342866877714795      0.3721237728993098       0.046462481672113594     
2000                     4.066499874724282        8308571                  0.0                      589.328038013551         0.10526086365134182      2.137855238333192        0                        0                        0.966782276              0.05                     0.21422488847747445      0.0005                   0.0005                   0.1495049873677393       2e-06                    2.243808129821161        1.0                      0.9980032757075147       1e-05                    65860                    0.276435678655451        0.9807267429852727       0.2593514919281006       0.30511245131492615      0.03912332804516108      
2200                     4.493107345700264        9137343                  0.0                      588.0206358398526        0.10526086365134182      2.137855238333192        0                        0                        0.9634672440000001       0.05                     0.25290648235629004      0.0005                   0.0005                   0.0                      2e-06                    2.1163883016567038       1.0                      0.9977683635673137       1e-05                    72443                    0.27885227974015053      0.9693596098158094       0.3094426194826762       0.3747919152180354       0.03910993024556323      
2400                     4.873934691217211        9967645                  0.0                      589.2416855901965        0.10526086365134182      2.137855238333192        0                        0                        0.960145916              0.05                     0.19704609092635414      0.0005                   0.0005                   0.0                      2e-06                    1.9346867203712463       1.0                      0.9997577468554179       1e-05                    79031                    0.2755905091762543       0.9811603824297587       0.21417947361866632      0.2786983797947566       0.03339407530923685      
2600                     5.5211509305901          10797333                 0.0                      589.5775865052128        0.10526086365134182      2.137855238333192        0                        0                        0.956827248              0.05                     0.22985518646116057      0.0005                   0.0005                   0.17645661540639898      2e-06                    1.7472757281679094       1.0                      0.9997651071259469       1e-05                    85619                    0.2733062445515334       0.9900621163724649       0.1987129126985868       0.2833614746729533       0.025697752080782496     
2800                     6.039048085212707        11626338                 0.0                      589.4783785208015        0.10526086365134182      2.137855238333192        0                        0                        0.953511216              0.05                     0.2572725211114933       0.0005                   0.0005                   0.0                      2e-06                    1.5981685754024622       1.0                      0.9996476606889204       1e-05                    92201                    0.2717865548952661       0.9946730257284763       0.13701044768095016      0.21532780677080154      0.02065252535270922      
3000                     6.466084822283851        12455599                 0.0                      589.5988519193476        0.10526086365134182      2.137855238333192        0                        0                        0.950194204              0.05                     0.24943111821388206      0.0005                   0.0005                   0.0                      2e-06                    1.5017044568302655       1.0                      0.9997651071259469       1e-05                    98783                    0.2750523547933559       0.9817166376595545       0.17409177869558334      0.2858152538537979       0.019222503960734667     
3200                     6.86131350060304         13286513                 0.0                      587.674511103321         0.10526086365134182      2.137855238333192        0                        0                        0.946870644              0.05                     0.21111318096518517      0.0005                   0.0005                   0.25672360432023805      2e-06                    1.410343054569129        1.0                      0.9998825535629735       1e-05                    105377                   0.27656153476599493      0.9717038183501273       0.19345507274071375      0.27494663496812183      0.01843021343452762      
3400                     7.255059361126688        14115236                 0.0                      590.9040502264504        0.10526086365134182      2.137855238333192        0                        0                        0.943555612              0.05                     0.2667535049064706       0.0005                   0.0005                   0.0                      2e-06                    1.313883116751006        1.0                      1.0                      1e-05                    111957                   0.2755066264759411       0.977705252290976        0.1767922043800354       0.24332998941342035      0.0161693613938611       
3600                     7.639668671091398        14944035                 0.0                      590.5488318874337        0.10526086365134182      2.137855238333192        0                        0                        0.94024046               0.05                     0.24784710366899768      0.0005                   0.0005                   0.0                      2e-06                    1.2256539662679038       1.0                      1.0                      1e-05                    118541                   0.27370712010547366      0.9838390928326232       0.1532777175307274       0.21496889491875967      0.014498144990265971     
3800                     8.017347487145           15772899                 0.0                      589.9023971211074        0.10526086365134182      2.137855238333192        0                        0                        0.9369249159999999       0.05                     0.2338160281845679       0.0005                   0.0005                   0.35824944482495386      2e-06                    1.1435365080833435       1.0                      1.0                      1e-05                    125119                   0.2719843586285909       0.992362360159556        0.1382584571838379       0.19438041498263678      0.01258594977358977      
4000                     8.42655611342854         16601992                 0.0                      589.6871292529775        0.10526086365134182      2.137855238333192        0                        0                        0.933608552              0.05                     0.23279510182328522      0.0005                   0.0005                   0.0                      2e-06                    1.0709130643594145       1.0                      0.9997651071259469       1e-05                    131698                   0.2720908877825496       0.9901106285326408       0.15596080323060355      0.2177839602033297       0.011256412574739166     
4200                     9.21102507326338         17432345                 0.0                      584.7664007627654        0.10526086365134182      2.137855238333192        0                        0                        0.930287228              0.05                     0.1531945668393746       0.0005                   0.0005                   0.0                      2e-06                    1.0234474991307114       1.0                      1.0                      1e-05                    138287                   0.27245268677220197      0.9894854998347734       0.09745813782016437      0.1451920891801516       0.011733920736746353     
4400                     10.64094984544648        18266030                 0.0                      584.6636989012958        0.10526086365134182      2.137855238333192        0                        0                        0.926952552              0.05                     0.21984950600502393      0.0005                   0.0005                   0.3098621141786377       2e-06                    0.9543081726690735       1.0                      1.0                      1e-05                    144886                   0.2697879666029805       0.9987924171216561       0.10387699926892917      0.17252972225348154      0.010277988934757735     
4600                     12.14369648522801        19100079                 0.0                      585.7155998871472        0.10526086365134182      2.137855238333192        0                        0                        0.9236163559999999       0.049999999999999996     0.22584667584548393      0.0005                   0.0005                   0.0                      2e-06                    0.8937450081411035       1.0                      1.0                      1e-05                    151484                   0.2705236251908119       0.9949827483206084       0.09989060958226521      0.16174515336751938      0.008782228135099315     
