Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  Disc_Loss                Disc_Acc_Expert          Disc_Acc_Agent           Disc_Stepsize            Disc_Steps               Disc_Prob                Disc_Abs_Logit           Disc_Reward_Mean         Disc_Reward_Std          Grad_Penalty             
0                        0.0028897290097342596    8302                     0.0                      585.6695953078087        0.08205631143365981      0.7577202285019657       0                        0                        0.999983324              0.05                     2.65131447215875         0.005                    0.3057537943435212       2e-05                    0.4457364369106169       2.6754496                2.0205078                44.91230049518623        0.7231618515168777       0.6247357647828381       1e-04                    33                       0.39622429645422735      2.4304751386546126       0.0                      0.0                      3.729271281849254        
1                        0.004772648149066501     12447                    0.0                      585.925180020708         0.0680562235650272       0.7258542081608496       0                        0                        0.999966792              0.05                     2.7018664876619973       0.005                    0.2993059481183688       2e-05                    0.5244670563843101       2.0452845                1.9184791                17.08277569395123        0.9732205747353909       0.7315010976309727       1e-04                    66                       0.3358784588900479       1.5507169395986231       0.5044523874918619       0.715667595465978        1.1955348891441269       
2                        0.006492784023284912     16561                    0.0                      585.3447173306636        0.06639265319279622      0.713024973178204        0                        0                        0.999950212              0.05                     2.2193370103836063       0.005                    0.29187695831060406      2e-05                    0.4992248098055521       0.9104254                2.103616                 13.495248635609945       1.0                      0.7539971570173899       1e-04                    98                       0.33251599967479706      1.4064491589864094       0.7462741235891978       0.7883190512657166       0.8616468012332916       
3                        0.008170195288128323     20696                    0.0                      584.4952188749343        0.06385333666336962      0.7063991119061086       0                        0                        0.999933756              0.05                     2.1230569003770747       0.005                    0.2966467846805851       2e-05                    0.48376938165165484      -0.66374207              1.994245                 11.941414572975853       1.0                      0.7662674200655234       1e-04                    131                      0.32883036738694316      1.368470933702257        0.7109179596106211       0.7708787024021149       0.716347752195416        
4                        0.009843672447734408     24836                    0.0                      585.0360237440422        0.06274121778631672      0.7048601725682949       0                        0                        0.9999172159999999       0.049999999999999996     2.0546327320237956       0.005                    0.30055361256624263      2e-05                    0.528343026060611        0.35692194               2.1375377                10.952238757200917       1.0                      0.7670895836570047       1e-04                    164                      0.3275509025111343       1.3222056494818795       0.6138075590133667       0.7468113402525584       0.6260411329943724       
5                        0.0115508853064643       28994                    0.0                      584.3403617156471        0.06226748644712839      0.7029452458473329       0                        0                        0.999900656              0.05                     2.071153632675608        0.005                    0.29949288892870146      2e-05                    0.5416666658905646       0.8443272                1.9449607                10.341714570016572       1.0                      0.7766033037744388       1e-04                    197                      0.32249574468593406      1.3044881531686492       0.7324930131435394       0.7732535401980082       0.5712631591642746       
6                        0.013259119126531813     33140                    0.0                      584.3602035913508        0.060567124845680886     0.7029020736242957       0                        0                        0.999884024              0.05                     1.7641437246153753       0.005                    0.32417972773934406      2e-05                    0.5927810026332736       0.37980214               2.066908                 9.780841711795691        1.0                      0.7914024699818004       1e-04                    230                      0.32090631639114536      1.266819462631688        0.7270763019720713       0.7670461634794871       0.5221834664392953       
7                        0.015018042657110426     37301                    0.0                      583.1883707718989        0.06090407755803936      0.7026801823051773       0                        0                        0.9998674399999999       0.049999999999999996     2.1211579193671546       0.005                    0.31325098670398194      2e-05                    0.5448158940610787       1.0173                   1.9875007                9.299550682607324        1.0                      0.7956308114408243       1e-04                    263                      0.3184697074119491       1.2616993297230115       0.714535653591156        0.7621054152647654       0.478389976000545        
8                        0.016745465397834777     41467                    0.0                      583.3436722104346        0.06052325373198877      0.7036631576299165       0                        0                        0.999850796              0.05                     1.7376728660116594       0.005                    0.3106256735821565       2e-05                    0.5041182194060335       0.12948997               1.7323722                8.88050641917219         1.0                      0.8056143943709557       1e-04                    296                      0.31637777945007944      1.231522165163599        0.7469041645526886       0.7699640790621439       0.44266180558638135      
9                        0.018529448641671074     45645                    0.0                      583.2591650306211        0.06096853033206157      0.7038322809781553       0                        0                        0.9998341319999999       0.049999999999999996     1.8025394286960363       0.005                    0.33976158251365024      2e-05                    0.610222868155688        0.9050429                1.9791676                8.515634556009312        1.0                      0.8157153948388919       1e-04                    329                      0.31330862430611045      1.2262205644087356       0.6348344683647156       0.7350821395715078       0.41030670416475545      
10                       0.02030740049150255      49823                    0.0                      582.7068640390409        0.06040384767596141      0.7050252061257257       0                        0                        0.9998174200000001       0.05000000000000001      1.815085460121433        0.005                    0.31538990310703713      2e-05                    0.5838178318614761       0.8456007                1.7505245                8.255376642400568        1.0                      0.8190040781040384       1e-04                    362                      0.3121540088846226       1.2006687588161895       0.6865099171797434       0.7481807271639506       0.38972344542994647      
11                       0.022054336004787022     54000                    0.0                      582.7260960420494        0.05926729144123548      0.7058857276020136       0                        0                        0.999800708              0.05                     1.6363890866438549       0.005                    0.30953071763118106      2e-05                    0.5140503911922375       -0.6124949               1.7813928                7.9986949882122005       1.0                      0.8239371174513691       1e-04                    395                      0.31204639781605115      1.193730363942156        0.7345525920391083       0.7605519195397695       0.36743720854171597      
12                       0.023816683954662746     58180                    0.0                      583.6538719668158        0.05996275917114046      0.707278193218563        0                        0                        0.999784                 0.05                     1.5523599094400804       0.005                    0.3359910120877127       2e-05                    0.5494186043118438       0.4450932                1.7445704                7.7772476504547425       1.0                      0.8194738927513662       1e-04                    428                      0.31133205722076723      1.1838593145813603       0.6899193326632181       0.7440864543120066       0.348893758022424        
13                       0.02567967931429545      62362                    0.0                      582.3369916472053        0.05938766871666324      0.7071981026914795       0                        0                        0.99976728               0.05                     1.533664645627141        0.005                    0.34602275351062417      2e-05                    0.5750968996435404       0.4762068                1.635236                 7.5849563906891175       1.0                      0.8267560246014836       1e-04                    461                      0.31039243274264866      1.172675412110608        0.6933947205543518       0.7438758214314779       0.33302010911883734      
14                       0.027438316345214844     66544                    0.0                      581.4679988565218        0.05974213153513177      0.7066678194172749       0                        0                        0.999750552              0.05                     1.5765657623608906       0.005                    0.3510692130463819       2e-05                    0.6203972860239446       -0.15173738              1.8352166                7.467093496611625        1.0                      0.8340381757177487       1e-04                    494                      0.3096885151333279       1.1688690763531309       0.72327388326327         0.745153804620107        0.32449305659592753      
15                       0.029205183651712204     70726                    0.0                      581.8941584870479        0.06018664965518024      0.7072471624286597       0                        0                        0.999733824              0.05                     1.2510822067658107       0.005                    0.32143052279328305      2e-05                    0.5595930234218637       -0.55835205              1.5004818                7.249176641907354        1.0                      0.8354476389258799       1e-04                    527                      0.3090379503038194       1.1606131466952236       0.6990514695644379       0.7395732700824738       0.30595601207078105      
16                       0.030961279273033143     74905                    0.0                      582.5052280635003        0.060433017873698654     0.7077408431082545       0                        0                        0.999717096              0.05                     1.6348326622198026       0.005                    0.30357330820212763      2e-05                    0.5426356618603071       -0.10934448              1.9507828                7.1202106668491565       1.0                      0.840028348595205        1e-04                    560                      0.3065043699861777       1.1570647268584282       0.6667770047982534       0.7313281099001566       0.2962552417408336       
17                       0.032775090005662706     79087                    0.0                      582.3472021247115        0.06110901800197013      0.7088235809761274       0                        0                        0.9997003799999999       0.049999999999999996     1.525338222583135        0.005                    0.3271112853350739       2e-05                    0.5792151157899449       0.28617197               1.9287257                6.944994377367425        1.0                      0.8453136598220979       1e-04                    593                      0.3061720096703731       1.1503907983953303       0.698304812113444        0.7473644117514292       0.28202490373091266      
18                       0.03451392187012566      83265                    0.0                      582.2238717417142        0.06080061520217886      0.7097440893163358       0                        0                        0.999683652              0.05                     1.446256325269739        0.005                    0.3183298693038523       2e-05                    0.5998061982293924       -0.43971273              1.8640238                6.8432250360045765       1.0                      0.8431994987256598       1e-04                    626                      0.30716216443765043      1.1314995698254517       0.7413879235585531       0.7402350803216299       0.2748870175294202       
19                       0.03626224312517378      87447                    0.0                      582.1263088185076        0.060062904779563296     0.7107835591782848       0                        0                        0.99966694               0.05                     1.6595753797640402       0.005                    0.3208629456348717       2e-05                    0.5697674437736472       1.3249944                1.652835                 6.758925389761877        1.0                      0.8456660665646948       1e-04                    659                      0.3058825502491961       1.1411565530179726       0.6278647482395172       0.7193204263846079       0.2681924983708545       
