Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Q1_Stepsize       Critic_Q2_Stepsize       Actor_Loss               Actor_Stepsize           Alpha_Loss               Alpha                    Disc_Loss                Disc_Acc_Expert          Disc_Acc_Agent           Disc_Stepsize            Disc_Steps               Disc_Prob                Disc_Abs_Logit           Disc_Reward_Mean         Disc_Reward_Std          Grad_Penalty             
0                        0.003078322410583496     8270                     0.0                      590.1372023174869        0.045444577211155475     2.0316257527228756       0                        0                        0.9999834919999999       0.049999999999999996     1.1554958979998318       0.0003                   0.0003                   0.5593230102566026       0.0003                   0.01604639925097304      [0.00583094]             7.784956190321181        1.0                      0.7269204168608695       1e-05                    33                       0.3618819304186888       1.0969278740160393       0.0                      0.0                      0.33348203427863843      
1                        0.00580921557214525      12395                    0.0                      588.8515362179234        0.045647193850351445     2.030251672507065        0                        0                        0.99996692               0.05                     0.7741652102697464       0.0003                   0.0003                   0.6432200932786577       0.0003                   0.01683784873880324      [0.00575891]             7.7698902289072675       1.0                      0.7355862657229105       1e-05                    65                       0.35864991943041485      1.103975494702657        0.7992449601491293       0.7442643245061239       0.3325570225715637       
2                        0.008693545526928371     16542                    0.0                      588.833362681142         0.04587516579326984      2.028839865565284        0                        0                        0.99995042               0.05                     0.6782821421289729       0.0003                   0.0003                   0.6786619043421177       0.0003                   0.011952424638279592     [0.00568554]             7.724293564305161        1.0                      0.7292694419321387       1e-05                    98                       0.35903398436729356      1.0768549948027641       0.7937174340089163       0.7396402557690939       0.3309137219130391       
3                        0.012022992173830668     20667                    0.0                      588.641313957176         0.046127957477299295     2.027330059297533        0                        0                        0.999933832              0.05                     0.6029019902859415       0.0003                   0.0003                   0.7051017563967478       0.0003                   0.010122177944802907     [0.00560037]             7.716681480407715        1.0                      0.739583412806193        1e-05                    130                      0.35605354110399884      1.079858938852946        0.8060982127984365       0.7415286103884379       0.3309621612230937       
4                        0.01580353339513143      24797                    0.0                      589.2556453879803        0.046361164670893504     2.0260155120517753       0                        0                        0.999917332              0.05                     0.5306552119523166       0.0003                   0.0003                   0.6963805820209434       0.0003                   0.009500168739033693     [0.0055044]              7.692426045735677        1.0                      0.7490017341844962       1e-05                    163                      0.35485660186921714      1.0830473466352986       0.786739319562912        0.7391333878040314       0.3291357743619668       
5                        0.01973255342907376      28929                    0.0                      589.2344463170547        0.0463177185735581       2.0245021891657387       0                        0                        0.999900812              0.05                     0.5061903512457392       0.0003                   0.0003                   0.7442896466996661       0.0003                   0.006062779557844921     [0.00542119]             7.665880145448626        1.0                      0.7401926541569258       1e-05                    196                      0.3542180735655505       1.0813417338361644       0.7527891397476196       0.7339585721492767       0.32739872402615017      
6                        0.024157144758436416     33079                    0.0                      589.327568350917         0.04650595088912351      2.023327106575477        0                        0                        0.999884284              0.05                     0.4769835195115379       0.0003                   0.0003                   0.7661498103950833       0.0003                   0.0033601845614031033    [0.00536148]             7.660343671085858        1.0                      0.7383134244668362       1e-05                    229                      0.3526539224566836       1.0863182954113892       0.7532123029232025       0.7350775599479675       0.3271965884199046       
7                        0.029061572551727297     37229                    0.0                      589.1924221140855        0.046551585688919275     2.022129081865403        0                        0                        0.999867684              0.05                     0.4373047140240669       0.0003                   0.0003                   0.757909860531489        0.0003                   3.50526700940463e-05     [0.00535968]             7.674327657680318        1.0                      0.7467700592195144       1e-05                    262                      0.3530018257372307       1.088114902226612        0.7629326581954956       0.7375752329826355       0.3281282126301467       
8                        0.034325312640931874     41367                    0.0                      589.866192290616         0.046495242194795644     2.0208214736203494       0                        0                        0.999851084              0.05                     0.4034201554793248       0.0003                   0.0003                   0.759424408848623        0.0003                   0.0003490904022454006    [0.0053459]              7.670606825086806        1.0                      0.7465352048777572       1e-05                    295                      0.35218368877064093      1.0780760254522768       0.759252647558848        0.7361427942911783       0.3298599117934102       
9                        0.039942656291855706     45499                    0.0                      589.6240190654225        0.04665338879072326      2.0194115701025823       0                        0                        0.999834532              0.05                     0.40287645485795925      0.0003                   0.0003                   0.7903141655953102       0.0003                   -0.0016886971485046021   [0.00539598]             7.676489319464172        1.0                      0.742424290589612        1e-05                    328                      0.35222832843510793      1.0888768591061988       0.7414596776167551       0.7328256964683533       0.32881487740410703      
10                       0.0460646300845676       49644                    0.0                      588.0493136731163        0.04694638437042772      2.017998075398967        0                        0                        0.999818004              0.05                     0.37956309458333815      0.0003                   0.0003                   0.8049297900256996       0.0003                   -0.001277038603680257    [0.00544028]             7.696068657769096        1.0                      0.7591027442855065       1e-05                    361                      0.3482817351216017       1.0998966717960859       0.7725848356882731       0.738029807806015        0.3319245155411537       
11                       0.052502423988448246     53780                    0.0                      588.9768128217734        0.04703387253663413      2.0167370353533283       0                        0                        0.9998014239999999       0.049999999999999996     0.36620946243681285      0.0003                   0.0003                   0.7960760324365562       0.0003                   -0.0012575226256560485   [0.00549818]             7.68676572857481         1.0                      0.7511158471155648       1e-05                    394                      0.35267942120330503      1.0745613599064374       0.7544066707293192       0.7356233100096384       0.3317694904828312       
12                       0.05914763112862905      57917                    0.0                      589.0374511894274        0.047151951350593205     2.015335098791656        0                        0                        0.99978488               0.05                     0.3526731291049739       0.0003                   0.0003                   0.7799183598549915       0.0003                   -0.000285826910057199    [0.00551323]             7.679766645335188        1.0                      0.7527602031977491       1e-05                    427                      0.34988204397336403      1.0821228027343752       0.7459593613942465       0.7329022785027822       0.3318942484229502       
13                       0.06615484999285803      62049                    0.0                      587.9679160424241        0.04744364992755382      2.0139090999752134       0                        0                        0.999768332              0.05                     0.3444954971782863       0.0003                   0.0003                   0.7883285831373472       0.0003                   -0.00016708516464183421  [0.00551734]             7.649211536754261        1.0                      0.76521026726925         1e-05                    460                      0.34708701239691847      1.09256547870058         0.7377878924210867       0.7315436700979868       0.32894715877494424      
14                       0.0736623881260554       66192                    0.0                      588.0817780782197        0.0479024988555756       2.0123785152615414       0                        0                        0.999751804              0.05                     0.33130964390687395      0.0003                   0.0003                   0.7833569517230486       0.0003                   -0.001547691883895136    [0.00561953]             7.6244214761136755       1.0                      0.760981954709448        1e-05                    493                      0.34919620282722247      1.0839724877868038       0.7463708619276682       0.7321319381395975       0.32690229801216514      
15                       0.0814994400077396       70333                    0.0                      587.7737581715642        0.048206455606620985     2.0108106355392805       0                        0                        0.999735232              0.05                     0.3230482596419059       0.0003                   0.0003                   0.7861289515217317       0.0003                   -0.0003329834691111857   [0.00564365]             7.625436956232245        1.0                      0.7565187974409623       1e-05                    526                      0.3491091198391385       1.0670118813562877       0.7399131158987681       0.7300728460152944       0.32826127427997015      
16                       0.08958656118975745      74460                    0.0                      587.5894343162624        0.048537606611507855     2.0093449003894945       0                        0                        0.9997186680000001       0.05000000000000001      0.3212370612633246       0.0003                   0.0003                   0.7902824005301247       0.0003                   -0.0002350755558415113   [0.00566754]             7.607731183369954        1.0                      0.7636870245138804       1e-05                    558                      0.34811974068482715      1.0720013578732808       0.7407557467619578       0.7295119861761729       0.3268086165189743       
17                       0.09771142727798886      78607                    0.0                      586.5970324154312        0.04877660475169037      2.0080418573792267       0                        0                        0.99970216               0.05                     0.3167804959569878       0.0003                   0.0003                   0.8081383187968673       0.0003                   -0.000999598781705762    [0.00574507]             7.609796312120225        1.0                      0.7540522681342231       1e-05                    591                      0.3504761686228743       1.0679738208501026       0.7376472453276316       0.7288925846417745       0.32676074962423307      
18                       0.10586247656080458      82746                    0.0                      585.2853624428319        0.04882778998596589      2.006605756416819        0                        0                        0.999685572              0.05                     0.3083110620961851       0.0003                   0.0003                   0.7955661526906473       0.0003                   -0.0012217465831839802   [0.00584338]             7.590046044551965        1.0                      0.7643881614762124       1e-05                    624                      0.3497607105910176       1.0576281692042495       0.7561472256978353       0.730750968058904        0.32557787076391353      
19                       0.11406873941421508      86880                    0.0                      583.9452395353039        0.04898366908774824      2.0047668326194494       0                        0                        0.999669016              0.05                     0.28978298916794537      0.0003                   0.0003                   0.8140199061200684       0.0003                   -0.0016314217765279208   [0.00595487]             7.545226742522885        1.0                      0.7567536517827197       1e-05                    657                      0.3493285660791879       1.0577050989324395       0.7505106727282206       0.7286438246568044       0.3218874257020276       
20                       0.12218199107382033      91025                    0.0                      586.3446524512487        0.0489321816249586       2.002425872385927        0                        0                        0.9996524800000001       0.05000000000000001      0.2877839817925328       0.0003                   0.0003                   0.7993474541517115       0.0003                   -0.0011473578998702943   [0.00604584]             7.579611575964726        1.0                      0.7588678032460838       1e-05                    690                      0.35136976145734694      1.0503268771701388       0.7674939831097921       0.7308308879534403       0.3253278443307588       
21                       0.13032344215446048      95165                    0.0                      586.2805563895045        0.048806404294781426     2.000725236737333        0                        0                        0.9996359                0.05                     0.2786431549402095       0.0003                   0.0003                   0.7984394248846775       0.0003                   -0.002066507583680302    [0.00621657]             7.594501765087397        1.0                      0.7588677550807144       1e-05                    723                      0.3524165249834157       1.0342342106982914       0.7739599049091339       0.731779565413793        0.32751972025091         
22                       0.13843411538336012      99315                    0.0                      587.4088528339666        0.048946349806809196     1.998720810467946        0                        0                        0.99961934               0.05                     0.279031053675773        0.0003                   0.0003                   0.7736161225428738       0.0003                   -0.00032263763951710677  [0.00626986]             7.574436534534801        1.0                      0.7600423254147923       1e-05                    756                      0.352489553316675        1.0352823469373915       0.7856498459974924       0.7293779452641805       0.32598366400208134      
23                       0.1465898617108663       103449                   0.0                      584.9106152339641        0.048854505163019216     1.997059630337426        0                        0                        0.99960274               0.05                     0.27039352721282855      0.0003                   0.0003                   0.7690150485785735       0.0003                   -0.0004358398573887919   [0.00630557]             7.57380283240116         1.0                      0.7641532204367899       1e-05                    789                      0.3517414969627303       1.044947209984365        0.7745330532391866       0.7223653793334961       0.3253158078049168       
24                       0.15469327125284407      107585                   0.0                      588.9998582740399        0.048831512713175956     1.9948033113298487       0                        0                        0.999586204              0.05                     0.29738509589979406      0.0003                   0.0003                   0.7898881547952414       0.0003                   0.0006271703020745486    [0.00623839]             7.55125311649207         1.0                      0.7645055982801651       1e-05                    822                      0.3517617312344638       1.0401112720219776       0.781803677479426        0.7172355850537618       0.32420456529867775      
25                       0.16279568003283607      111722                   0.0                      587.0429931605306        0.04885570175822124      1.9939294258089606       0                        0                        0.9995696599999999       0.049999999999999996     0.30029805719809816      0.0003                   0.0003                   0.8091669209909029       0.0003                   -0.0006297799637235252   [0.0062965]              7.553063671998303        1.0                      0.7710829937096797       1e-05                    855                      0.35153495422517406      1.0325084647747003       0.7890792787075043       0.7164803345998129       0.3245095821342083       
26                       0.17100871470239426      115885                   0.0                      587.7189201065935        0.048926341116992886     1.9931071607536228       0                        0                        0.999553112              0.05                     0.30319675317138045      0.0003                   0.0003                   0.8140765261837682       0.0003                   -0.0003674819565791191   [0.00633485]             7.516536674114189        1.0                      0.7707306254993785       1e-05                    888                      0.3490382733971182       1.043979798904573        0.7789250512917837       0.7150300443172455       0.3213538352889244       
27                       0.1790878242916531       120059                   0.0                      588.8975447832481        0.04882939483638796      1.9924060228718232       0                        0                        0.9995364600000001       0.05000000000000001      0.30870789689716693      0.0003                   0.0003                   0.8227770214471354       0.0003                   0.00024171539868396495   [0.0063087]              7.542596142701428        1.0                      0.7641532397029375       1e-05                    921                      0.34913056306164675      1.0609345098938605       0.7657117744286855       0.7125467459360758       0.3230473441306991       
28                       0.18717853446801502      124204                   0.0                      588.8465867449081        0.04877545542360681      1.9915710085083629       0                        0                        0.999519764              0.05                     0.31169304819790933      0.0003                   0.0003                   0.8161754079045825       0.0003                   0.0002014009603092684    [0.00628759]             7.543542264687894        1.0                      0.7778953109124694       1e-05                    954                      0.34782296961004083      1.0492715546579072       0.7716017564137777       0.7134052316347758       0.3247224682509297       
29                       0.19527146690421635      128339                   0.0                      588.975088032492         0.04879984253399303      1.9907493454544942       0                        0                        0.999503184              0.05                     0.32199451625773495      0.0003                   0.0003                   0.8102268178191819       0.0003                   -0.0023791132800035746   [0.00647064]             7.530899587303701        1.0                      0.7727272919934206       1e-05                    987                      0.3465755058057381       1.0711116405448529       0.760766992966334        0.7125482559204102       0.32256974595965765      
30                       0.203449344502555        132481                   0.0                      589.4995494601457        0.04838540523611763      1.9901204168353916       0                        0                        0.999486644              0.05                     0.33069738641232044      0.0003                   0.0003                   0.8132488321464972       0.0003                   -0.004108512510610098    [0.00682061]             7.534082200792102        1.0                      0.7744891330449267       1e-05                    1020                     0.34542763353598244      1.0677516821658972       0.7574529051780701       0.7127803266048431       0.3237497926962496       
31                       0.21150158782800038      136613                   0.0                      591.0555981003877        0.048205031972367925     1.9897229939121932       0                        0                        0.9994700759999999       0.049999999999999996     0.33375219834464814      0.0003                   0.0003                   0.7087111986203597       0.0003                   0.006994738869034674     [0.00635054]             7.543891213156961        1.0                      0.7727273594249379       1e-05                    1053                     0.34615373611450195      1.0708671338630447       0.7563429474830627       0.7148889799912771       0.32452818359991514      
